avg_pkt_size,pkt_count,flow_duration_sec,bytes_per_sec,dst_port,protocol_tcp,protocol_udp,has_sni,inter_arrival_mean,inter_arrival_std,pkt_size_std,label,weight
66,2,0.001,132000.0,51204,1,0,0,0.07,0.0,16.97,P2P_TRAFFIC,2.0
54,2,0.001,108000.0,443,1,0,0,0.16,0.0,0.0,NORMAL,1.0
69,2,0.001,138000.0,51032,1,0,0,0.0,0.0,12.73,P2P_TRAFFIC,2.0
466.15,20,67.07,139.0,443,1,0,1,3530.0,11052.24,759.47,NORMAL,1.0
54,2,12.0933,8.93,443,1,0,0,12093.29,0.0,0.0,NORMAL,1.0
60,2,0.001,120000.0,55620,1,0,0,0.13,0.0,0.0,P2P_TRAFFIC,2.0
66,2,0.001,132000.0,49373,1,0,0,0.09,0.0,16.97,P2P_TRAFFIC,2.0
54,2,0.001,108000.0,443,1,0,0,0.29,0.0,0.0,NORMAL,1.0
309.7,40,240.9849,51.41,443,1,0,1,6179.1,15336.99,582.75,ADWARE,2.0
69,2,0.001,138000.0,51591,1,0,0,0.0,0.0,12.73,P2P_TRAFFIC,2.0
339.69,36,240.0764,50.94,443,1,0,1,6859.33,16000.84,510.83,ADWARE,2.0
69,2,0.001,138000.0,64214,1,0,0,0.0,0.0,12.73,P2P_TRAFFIC,2.0
73.41,22,376.7258,4.29,443,1,0,0,17939.32,21998.7,43.13,NORMAL,1.0
60,2,0.001,120000.0,55619,1,0,0,0.0,0.0,0.0,P2P_TRAFFIC,2.0
